Município,Domain,Live_StatusCode,Total_Arquivo_Captures
Pedrógão Grande,cm-pedrogaogrande.pt,200,778
Penalva do Castelo,cm-penalvadocastelo.pt,200,651
Peso da Régua,cm-pesoregua.pt,200,847
Ponta Delgada,cm-pontadelgada.pt,Dead,1026
Ponta do Sol,cm-pontadosol.pt,200,495
Ponte da Barca,cm-pontedabarca.pt,Dead,9
Ponte de Lima,cm-pontedelima.pt,200,1072
Ponte de Sor,cm-pontedesor.pt,200,538
Porto Moniz,cm-portomoniz.pt,Dead,4
Porto Santo,cm-portosanto.pt,200,640
Póvoa de Lanhoso,cm-povoadelanhoso.pt,200,53
Proença-a-Nova,cm-proencanova.pt,200,3247
Póvoa de Varzim,cm-pvarzim.pt,200,2179
Ribeira Brava,cm-ribeirabrava.pt,200,122
Ribeira Grande,cm-ribeiragrande.pt,Dead,328
Rio Maior,cm-riomaior.pt,Dead,1109
Ribeira de Pena,cm-rpena.pt,200,373
Salvaterra de Magos,cm-salvaterrademagos.pt,Dead,895
Santa Comba Dão,cm-santacombadao.pt,200,783
Santa Cruz,cm-santacruz.pt,200,650
São Roque do Pico,cm-saoroquedopico.pt,200,701
São Vicente,cm-saovicente.pt,200,314
São João da Madeira,cm-sjm.pt,200,1097
São João da Pesqueira,cm-sjpesqueira.pt,Dead,43
Santa Marta de Penaguião,cm-smpenaguiao.pt,200,390
Sobral de Monte Agraço,cm-sobral.pt,200,731
São Pedro do Sul,cm-spsul.pt,Dead,581
Torres Novas,cm-torresnovas.pt,200,1236
Vale de Cambra,cm-valedecambra.pt,Timeout,155
Vendas Novas,cm-vendasnovas.pt,Dead,477
Vila Franca de Xira,cm-vfxira.pt,200,1474
Viana do Castelo,cm-viana-castelo.pt,200,1384
Viana do Alentejo,cm-vianadoalentejo.pt,Dead,209
Vila de Rei,cm-viladerei.pt,200,3476
Vila do Bispo,cm-viladobispo.pt,200,412
Vila do Conde,cm-viladoconde.pt,200,1301
Vila Flor,cm-vilaflor.pt,Dead,710
Vila Real,cm-vilareal.pt,200,1593
Vila Verde,cm-vilaverde.pt,200,877
Vila Viçosa,cm-vilavicosa.pt,Dead,0
Vila Nova de Famalicão,cm-vnfamalicao.pt,200,0
Vila Nova de Paiva,cm-vnpaiva.pt,200,0
Vila Pouca de Aguiar,cm-vpaguiar.pt,200,0
Vila Real de Santo António,cm-vrsa.pt,Dead,0
Vila Velha de Ródão,cm-vvrodao.pt,Dead,0
Ferreira do Alentejo,cm-ferreira-alentejo.pt,403,0
Freixo de Espada à Cinta,cm-freixoespadacinta.pt,200,0
Marco de Canaveses,cm-marco-canaveses.pt,200,0
Paredes de Coura,cm-paredes-coura.pt,404,43
Porto de Mós,municipio-portodemos.pt,200,1114
São Brás de Alportel,cm-sbras.pt,200,360
Torres Vedras,cm-tvedras.pt,200,2209
Castelo de Paiva,cm-castelo-paiva.pt,200,763
Reguengos de Monsaraz,cm-reguengos-monsaraz.pt,Dead,494
Vila Nova de Cerveira,cm-vncerveira.pt,200,1344
Castelo de Vide,cm-castelo-vide.pt,200,525
Miranda do Douro,cm-mdouro.pt,200,997
Marinha Grande,cm-mgrande.pt,200,1163
Montemor-o-Velho,cm-montemorvelho.pt,200,812
Oliveira do Bairro,cm-olb.pt,200,849
Paços de Ferreira,cm-pacosdeferreira.pt,200,403
Santana,cm-santana.com,200,226
Sever do Vouga,cm-sever.pt,200,680
Santo Tirso,cm-stirso.pt,200,1235
Terras de Bouro,cm-terrasdebouro.pt,200,715
Vila Nova de Poiares,cm-vilanovadepoiares.pt,200,789
Vieira do Minho,cm-vminho.pt,200,452
Lajes das Flores,cmlajesdasflores.pt,Dead,579
Vila da Praia da Vitória,cmpv.pt,200,606
Santa Cruz das Flores,cmscflores.pt,200,603
Vila Franca do Campo,cmvfc.pt,200,590
Calheta [R.A.M.],cmcalheta.pt,200,148
