Município,Domain
São Vicente,cm-saovicente.pt
São João da Madeira,cm-sjm.pt
São João da Pesqueira,cm-sjpesqueira.pt
Santa Marta de Penaguião,cm-smpenaguiao.pt
Sobral de Monte Agraço,cm-sobral.pt
São Pedro do Sul,cm-spsul.pt
Torres Novas,cm-torresnovas.pt
Vale de Cambra,cm-valedecambra.pt
Vendas Novas,cm-vendasnovas.pt
Vila Franca de Xira,cm-vfxira.pt
Viana do Castelo,cm-viana-castelo.pt
Viana do Alentejo,cm-vianadoalentejo.pt
Vila de Rei,cm-viladerei.pt
Vila do Bispo,cm-viladobispo.pt
Vila do Conde,cm-viladoconde.pt
Vila Flor,cm-vilaflor.pt
Vila Real,cm-vilareal.pt
Vila Verde,cm-vilaverde.pt
Vila Viçosa,cm-vilavicosa.pt
Vila Nova de Famalicão,cm-vnfamalicao.pt
Vila Nova de Paiva,cm-vnpaiva.pt
Vila Pouca de Aguiar,cm-vpaguiar.pt
Vila Real de Santo António,cm-vrsa.pt
Vila Velha de Ródão,cm-vvrodao.pt
Ferreira do Alentejo,cm-ferreira-alentejo.pt
Freixo de Espada à Cinta,cm-freixoespadacinta.pt
Marco de Canaveses,cm-marco-canaveses.pt
Paredes de Coura,cm-paredes-coura.pt
Porto de Mós,municipio-portodemos.pt
São Brás de Alportel,cm-sbras.pt
Torres Vedras,cm-tvedras.pt
Castelo de Paiva,cm-castelo-paiva.pt
Reguengos de Monsaraz,cm-reguengos-monsaraz.pt
Vila Nova de Cerveira,cm-vncerveira.pt
Castelo de Vide,cm-castelo-vide.pt
Miranda do Douro,cm-mdouro.pt
Marinha Grande,cm-mgrande.pt
Montemor-o-Velho,cm-montemorvelho.pt
Oliveira do Bairro,cm-olb.pt
Paços de Ferreira,cm-pacosdeferreira.pt
Santana,cm-santana.com
Sever do Vouga,cm-sever.pt
Santo Tirso,cm-stirso.pt
Terras de Bouro,cm-terrasdebouro.pt
Vila Nova de Poiares,cm-vilanovadepoiares.pt
Vieira do Minho,cm-vminho.pt
Lajes das Flores,cmlajesdasflores.pt
Vila da Praia da Vitória,cmpv.pt
Santa Cruz das Flores,cmscflores.pt
Vila Franca do Campo,cmvfc.pt
Calheta [R.A.M.],cmcalheta.pt
