Município,Domain,Status,Signal_Found,Notes
Nordeste,cm-nordeste.pt,VERIFIED,cm- in domain (auto-pass),
Óbidos,cm-obidos.pt,VERIFIED,cm- in domain (auto-pass),
Odemira,cm-odemira.pt,VERIFIED,cm- in domain (auto-pass),
Odivelas,cm-odivelas.pt,VERIFIED,cm- in domain (auto-pass),
Oeiras,cm-oeiras.pt,VERIFIED,cm- in domain (auto-pass),
Oleiros,cm-oleiros.pt,VERIFIED,cm- in domain (auto-pass),
Olhão,cm-olhao.pt,VERIFIED,cm- in domain (auto-pass),
Ourém,cm-ourem.pt,VERIFIED,cm- in domain (auto-pass),
Ourique,cm-ourique.pt,VERIFIED,cm- in domain (auto-pass),
Ovar,cm-ovar.pt,VERIFIED,cm- in domain (auto-pass),
Palmela,cm-palmela.pt,VERIFIED,cm- in domain (auto-pass),
Paredes,cm-paredes.pt,VERIFIED,cm- in domain (auto-pass),
Penacova,cm-penacova.pt,VERIFIED,cm- in domain (auto-pass),
Penafiel,cm-penafiel.pt,VERIFIED,cm- in domain (auto-pass),
Penamacor,cm-penamacor.pt,VERIFIED,cm- in domain (auto-pass),
Penedono,cm-penedono.pt,VERIFIED,cm- in domain (auto-pass),
Penela,cm-penela.pt,VERIFIED,cm- in domain (auto-pass),
Peniche,cm-peniche.pt,VERIFIED,cm- in domain (auto-pass),
Pinhel,cm-pinhel.pt,VERIFIED,cm- in domain (auto-pass),
Pombal,cm-pombal.pt,VERIFIED,cm- in domain (auto-pass),
Portalegre,cm-portalegre.pt,VERIFIED,cm- in domain (auto-pass),
Portel,cm-portel.pt,VERIFIED,cm- in domain (auto-pass),
Portimão,cm-portimao.pt,VERIFIED,cm- in domain (auto-pass),
Porto,cm-porto.pt,VERIFIED,cm- in domain (auto-pass),
Povoação,cm-povoacao.pt,VERIFIED,cm- in domain (auto-pass),
Redondo,cm-redondo.pt,VERIFIED,cm- in domain (auto-pass),
Resende,cm-resende.pt,VERIFIED,cm- in domain (auto-pass),
Sabrosa,cm-sabrosa.pt,VERIFIED,cm- in domain (auto-pass),
Sabugal,cm-sabugal.pt,VERIFIED,cm- in domain (auto-pass),
Santarém,cm-santarem.pt,VERIFIED,cm- in domain (auto-pass),
Santiago do Cacém,cm-santiago-do-cacem.pt,VERIFIED,cm- in domain (auto-pass),
Sardoal,cm-sardoal.pt,VERIFIED,cm- in domain (auto-pass),
Sátão,cm-satao.pt,VERIFIED,cm- in domain (auto-pass),
Seia,cm-seia.pt,VERIFIED,cm- in domain (auto-pass),
Seixal,cm-seixal.pt,VERIFIED,cm- in domain (auto-pass),
Sernancelhe,cm-sernancelhe.pt,VERIFIED,cm- in domain (auto-pass),
Serpa,cm-serpa.pt,VERIFIED,cm- in domain (auto-pass),
Sertã,cm-serta.pt,VERIFIED,cm- in domain (auto-pass),
Sesimbra,cm-sesimbra.pt,VERIFIED,cm- in domain (auto-pass),
Setúbal,cm-setubal.pt,VERIFIED,cm- in domain (auto-pass),
Silves,cm-silves.pt,VERIFIED,cm- in domain (auto-pass),
Sines,cm-sines.pt,VERIFIED,cm- in domain (auto-pass),
Sintra,cm-sintra.pt,VERIFIED,cm- in domain (auto-pass),
Soure,cm-soure.pt,VERIFIED,cm- in domain (auto-pass),
Sousel,cm-sousel.pt,VERIFIED,cm- in domain (auto-pass),
Tábua,cm-tabua.pt,VERIFIED,cm- in domain (auto-pass),
