Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score
Penafiel,-3.28,95.8193,897.0,200,TIER 2 - Estagnação,0.7
Penamacor,-14.46,96.0038,628.0,200,TIER 4 - Profecia CASSANDRA,75.2
Penedono,-5.87,94.4959,234.0,200,TIER 4 - Profecia CASSANDRA,57.3
Penela,-8.2,95.2623,616.0,200,TIER 4 - Profecia CASSANDRA,51.5
Peniche,-4.04,95.5637,855.0,Dead,TIER 2 - Estagnação,0.7
Pinhel,-15.0,93.8822,182.0,200,TIER 4 - Profecia CASSANDRA,91.8
Pombal,-6.92,95.3922,692.0,200,TIER 3 - Risco de Fuga,0.4
Portalegre,-10.01,94.7876,395.0,200,TIER 3 - Risco de Fuga,8.6
Portel,-9.69,94.4959,245.0,Dead,TIER 3 - Risco de Fuga,42.7
Portimão,7.48,95.7561,1759.0,200,TIER 1 - Resiliência,0.2
Porto,-1.07,92.87,1319.0,200,TIER 2 - Estagnação,8.6
Povoação,-6.92,94.8859,613.0,200,TIER 3 - Risco de Fuga,12.6
Redondo,-10.1,94.0816,181.0,Dead,TIER 3 - Risco de Fuga,8.6
Resende,-11.34,99.6807,866.0,200,TIER 4 - Profecia CASSANDRA,77.0
Sabrosa,-11.68,92.7405,57.0,200,TIER 4 - Profecia CASSANDRA,75.4
Sabugal,-9.87,95.3447,662.0,200,TIER 4 - Profecia CASSANDRA,49.8
Santarém,-4.25,95.6092,1295.0,200,TIER 2 - Estagnação,1.2
Santiago do Cacém,-5.67,92.3529,7.0,200,TIER 3 - Risco de Fuga,9.4
Sardoal,-10.66,95.5697,1084.0,200,TIER 4 - Profecia CASSANDRA,67.2
Sátão,-11.59,94.8636,282.0,200,TIER 4 - Profecia CASSANDRA,53.8
Seia,-12.24,95.4903,914.0,200,TIER 4 - Profecia CASSANDRA,70.7
Seixal,5.34,95.7877,1442.0,200,TIER 1 - Resiliência,0.4
Sernancelhe,-0.25,94.6944,283.0,200,TIER 2 - Estagnação,24.7
Serpa,-11.22,95.0493,306.0,200,TIER 4 - Profecia CASSANDRA,67.9
Sertã,-5.72,99.6288,628.0,200,TIER 3 - Risco de Fuga,16.9
Sesimbra,6.45,95.0869,277.0,200,TIER 1 - Resiliência,0.1
Setúbal,1.56,96.1677,628.0,Dead,TIER 1 - Resiliência,0.2
Silves,3.0,94.903,268.0,200,TIER 1 - Resiliência,0.4
Sines,-0.1,92.8684,124.0,Dead,TIER 2 - Estagnação,0.6
Sintra,2.32,95.8816,1254.0,200,TIER 1 - Resiliência,0.2
Soure,-10.0,94.6998,279.0,200,TIER 3 - Risco de Fuga,25.1
Sousel,-12.9,92.9491,155.0,200,TIER 4 - Profecia CASSANDRA,95.6
Tábua,-6.62,95.8619,610.0,Dead,TIER 3 - Risco de Fuga,5.7
Tabuaço,-19.7,95.3774,712.0,200,TIER 3 - Risco de Fuga,39.2
Tarouca,-7.52,95.3417,628.0,Dead,TIER 3 - Risco de Fuga,5.7
Tavira,5.52,94.7763,628.0,200,TIER 1 - Resiliência,0.6
Tomar,-9.84,95.4843,628.0,200,TIER 3 - Risco de Fuga,7.2
Tondela,-9.54,95.3779,628.0,200,TIER 3 - Risco de Fuga,5.6
Trancoso,-14.5,93.6078,628.0,200,TIER 4 - Profecia CASSANDRA,68.8
Vagos,1.31,95.3968,628.0,200,TIER 1 - Resiliência,0.3
Valença,-2.43,95.2341,628.0,200,TIER 2 - Estagnação,1.0
Valongo,1.94,95.7849,628.0,200,TIER 1 - Resiliência,0.7
Valpaços,-12.66,96.33,24.0,Dead,TIER 4 - Profecia CASSANDRA,74.8
Vidigueira,-11.45,95.4175,767.0,200,TIER 4 - Profecia CASSANDRA,79.8
Vimioso,-10.67,95.3679,737.0,200,TIER 4 - Profecia CASSANDRA,82.3
Vinhais,-14.01,95.5032,820.0,200,TIER 4 - Profecia CASSANDRA,92.3
Viseu,0.46,95.9351,1268.0,200,TIER 1 - Resiliência,0.7
Vizela,1.21,95.3102,468.0,200,TIER 1 - Resiliência,0.4
Vouzela,-7.74,94.8454,420.0,200,TIER 4 - Profecia CASSANDRA,57.1
Albergaria-a-Velha,-0.91,95.3401,767.0,200,TIER 3 - Risco de Fuga,0.9
Miranda do Corvo,-8.26,94.4963,247.0,200,TIER 3 - Risco de Fuga,1.1
Santa Maria da Feira,-1.44,95.0363,882.0,200,TIER 2 - Estagnação,0.4
Vila Nova de Gaia,0.8,93.5735,157.0,200,TIER 1 - Resiliência,0.2
Santa Cruz da Graciosa,-6.45,95.6616,589.0,200,TIER 3 - Risco de Fuga,11.2
Torre de Moncorvo,-18.84,94.6875,236.0,200,TIER 4 - Profecia CASSANDRA,84.3
Vila do Porto,-1.91,92.87,144.0,200,TIER 2 - Estagnação,1.6
Horta,-3.78,95.649,1121.0,200,TIER 2 - Estagnação,2.2
Mangualde,-7.39,95.3509,461.0,200,TIER 3 - Risco de Fuga,6.8
Velas,-8.48,97.8192,411.0,200,TIER 3 - Risco de Fuga,4.7
Guarda,-5.85,99.4034,1137.0,200,TIER 2 - Estagnação,8.8
Aljustrel,-3.75,94.6838,530.0,200,TIER 2 - Estagnação,29.6
Montijo,9.69,97.1601,1452.0,200,TIER 1 - Resiliência,0.5
Lajes do Pico,-6.64,97.4213,698.0,200,TIER 3 - Risco de Fuga,6.9
Trofa,-0.52,99.0616,676.0,200,TIER 3 - Risco de Fuga,1.0
Alter do Chão,-13.77,94.2982,291.0,200,TIER 4 - Profecia CASSANDRA,74.6
Angra do Heroísmo,-4.38,95.6295,839.0,200,TIER 2 - Estagnação,1.0
Arcos de Valdevez,-8.35,95.3454,1020.0,200,TIER 3 - Risco de Fuga,32.3
Vila Nova da Barquinha,-1.82,97.4384,2474.0,200,TIER 2 - Estagnação,20.4
Cabeceiras de Basto,-6.46,95.1626,531.0,200,TIER 3 - Risco de Fuga,11.1
Caldas da Rainha,-0.65,92.2271,25.0,200,TIER 2 - Estagnação,0.4
Castanheira de Pêra,-15.43,94.9608,374.0,200,TIER 4 - Profecia CASSANDRA,83.9
Aguiar da Beira,-6.03,95.4298,754.0,200,TIER 4 - Profecia CASSANDRA,54.0
Alcácer do Sal,-13.72,92.7268,129.0,200,TIER 4 - Profecia CASSANDRA,79.2
Alfândega da Fé,-14.66,95.8423,1264.0,200,TIER 4 - Profecia CASSANDRA,92.7
Arruda dos Vinhos,5.91,95.4769,854.0,200,TIER 1 - Resiliência,1.4
Calheta [R.A.A.],-6.84,96.8223,146.0,200,TIER 3 - Risco de Fuga,13.1
Câmara de Lobos,-8.98,95.1548,581.0,200,TIER 3 - Risco de Fuga,0.7
Carrazeda de Ansiães,-12.49,95.4073,909.0,200,TIER 4 - Profecia CASSANDRA,96.8
Carregal do Sal,-7.36,94.6819,568.0,200,TIER 3 - Risco de Fuga,8.6
Castelo Branco,-6.42,99.4567,3730.0,200,TIER 3 - Risco de Fuga,4.0
Castro Daire,-9.73,95.405,522.0,200,TIER 3 - Risco de Fuga,20.5
Castro Marim,-2.56,95.5707,201.0,200,TIER 2 - Estagnação,3.2
Castro Verde,-5.37,93.5341,168.0,200,TIER 3 - Risco de Fuga,7.0
Celorico da Beira,-13.64,93.2718,150.0,200,TIER 4 - Profecia CASSANDRA,91.2
Celorico de Basto,-11.51,100.0,628.0,Dead,TIER 3 - Risco de Fuga,16.9
Condeixa-a-Nova,-1.62,95.3301,936.0,200,TIER 2 - Estagnação,1.2
