[206] Porto                            → cm-porto.pt
[207] Porto de Mós                     → portodemos.pt
[208] Porto Moniz                      → cm-portomoniz.pt
[209] Porto Santo                      → cm-portosanto.pt
[210] Povoação                         → cm-povoacao.pt
[211] Proença-a-Nova                   → cm-proencanova.pt
[212] Póvoa de Lanhoso                 → cm-povoadelanhoso.pt
[213] Póvoa de Varzim                  → cm-pvarzim.pt
[214] Redondo                          → cm-redondo.pt
[215] Reguengos de Monsaraz            → cm-reguengos-monsaraz.pt
[216] Resende                          → cm-resende.pt
[217] Ribeira Brava                    → cm-ribeirabrava.pt
[218] Ribeira de Pena                  → cm-rpena.pt
[219] Ribeira Grande                   → cm-ribeiragrande.pt
[220] Rio Maior                        → cm-riomaior.pt
[221] Sabrosa                          → cm-sabrosa.pt
[222] Sabugal                          → cm-sabugal.pt
[223] Salvaterra de Magos              → cm-salvaterrademagos.pt
[224] Santa Comba Dão                  → cm-santacombadao.pt
[225] Santa Cruz                       → cm-santacruz.pt
[226] Santa Cruz da Graciosa           → cm-graciosa.pt
[227] Santa Cruz das Flores            → cmscflores.pt
[228] Santa Maria da Feira             → cm-feira.pt
[229] Santa Marta de Penaguião         → cm-smpenaguiao.pt
[230] Santana                          → cm-santana.com
[231] Santarém                         → cm-santarem.pt
[232] Santiago do Cacém                → cm-santiago-do-cacem.pt
[233] Santo Tirso                      → cm-stirso.pt
[234] Sardoal                          → cm-sardoal.pt
[235] Seia                             → cm-seia.pt
[236] Seixal                           → cm-seixal.pt
[237] Sernancelhe                      → cm-sernancelhe.pt
[238] Serpa                            → cm-serpa.pt
[239] Sertã                            → cm-serta.pt
[240] Sesimbra                         → cm-sesimbra.pt
[241] Setúbal                          → cm-setubal.pt
[242] Sever do Vouga                   → cm-sever.pt
[243] Silves                           → cm-silves.pt
[244] Sines                            → cm-sines.pt
[245] Sintra                           → cm-sintra.pt
[246] Sobral de Monte Agraço           → cm-sobral.pt
[247] Soure                            → cm-soure.pt
[248] Sousel                           → cm-sousel.pt
[249] Sátão                            → cm-satao.pt
[250] São Brás de Alportel             → cm-sbras.pt
[251] São João da Madeira              → cm-sjm.pt
[252] São João da Pesqueira            → cm-sjpesqueira.pt
[253] São Pedro do Sul                 → cm-spsul.pt
[254] São Roque do Pico                → cm-saoroquedopico.pt
[255] São Vicente                      → cm-saovicente.pt
[256] Tabuaço                          → cm-tabuaco.pt
[257] Tarouca                          → cm-tarouca.pt
[258] Tavira                           → cm-tavira.pt
[259] Terras de Bouro                  → cm-terrasdebouro.pt
[260] Tomar                            → cm-tomar.pt
[261] Tondela                          → cm-tondela.pt
[262] Torre de Moncorvo                → cm-moncorvo.pt
[263] Torres Novas                     → cm-torresnovas.pt
[264] Torres Vedras                    → cm-tvedras.pt
[265] Trancoso                         → cm-trancoso.pt
[266] Trofa                            → mun-trofa.pt
[267] Tábua                            → cm-tabua.pt
[268] Vagos                            → cm-vagos.pt
[269] Vale de Cambra                   → cm-valedecambra.pt
[270] Valença                          → cm-valenca.pt
[271] Valongo                          → cm-valongo.pt
[272] Valpaços                         → cm-valpacos.pt
[273] Velas                            → cmvelas.pt
[274] Vendas Novas                     → cm-vendasnovas.pt
[275] Viana do Alentejo                → cm-vianadoalentejo.pt
[276] Viana do Castelo                 → cm-viana-castelo.pt
[277] Vidigueira                       → cm-vidigueira.pt
[278] Vieira do Minho                  → cm-vminho.pt
[279] Vila da Praia da Vitória         → cmpv.pt
[280] Vila de Rei                      → cm-viladerei.pt
[281] Vila do Bispo                    → cm-viladobispo.pt
[282] Vila do Conde                    → cm-viladoconde.pt
[283] Vila do Porto                    → cm-viladoporto.pt
[284] Vila Flor                        → cm-vilaflor.pt
[285] Vila Franca de Xira              → cm-vfxira.pt
[286] Vila Franca do Campo             → cmvfc.pt
[287] Vila Nova da Barquinha           → cm-vnbarquinha.pt
[288] Vila Nova de Cerveira            → cm-vncerveira.pt
[289] Vila Nova de Famalicão           → cm-vnfamalicao.pt
[290] Vila Nova de Foz Côa             → cm-fozcoa.pt
[291] Vila Nova de Gaia                → cm-gaia.pt
[292] Vila Nova de Paiva               → cm-vnpaiva.pt
[293] Vila Nova de Poiares             → cm-vilanovadepoiares.pt
[294] Vila Pouca de Aguiar             → cm-vpaguiar.pt
[295] Vila Real                        → cm-vilareal.pt
[296] Vila Real de Santo António       → cm-vrsa.pt
[297] Vila Velha de Ródão              → cm-vvrodao.pt
[298] Vila Verde                       → cm-vilaverde.pt
[299] Vila Viçosa                      → cm-vilavicosa.pt
[300] Vimioso                          → cm-vimioso.pt
[301] Vinhais                          → cm-vinhais.pt
[302] Viseu                            → cm-viseu.pt
[303] Vizela                           → cm-vizela.pt
[304] Vouzela                          → cm-vouzela.pt
[305] Águeda                           → cm-agueda.pt
[306] Évora                            → cm-evora.pt
[307] Ílhavo                           → cm-ilhavo.pt
[308] Óbidos                           → cm-obidos.pt
