Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Odivelas,2.82,95.8852,1564.0,200,TIER 1 - Resiliência,0.6,odivelas,0.2014,2.0,0.2383696994648003,542.0
Oeiras,-0.2,94.8537,264.0,Timeout,TIER 2 - Estagnação,0.3,oeiras,0.1686,2.0,0.0255183413078149,696.0
Oleiros,-13.18,99.6439,3157.0,200,TIER 4 - Profecia CASSANDRA,92.0,oleiros,0.1112,2.0,0.4215017064846416,581.0
Olhão,-1.31,95.4792,642.0,200,TIER 2 - Estagnação,0.4,olhao,0.1056,3.0,0.3209792587555253,775.0
Ourém,-2.5,92.9489,186.0,Dead,TIER 2 - Estagnação,0.3,ourem,0.1126,2.0,0.1842105263157894,2144.0
Ourique,-10.87,93.1317,171.0,200,TIER 4 - Profecia CASSANDRA,93.0,ourique,0.3516,2.0,0.0264765784114052,894.0
Ovar,-0.13,94.6916,628.0,Dead,TIER 2 - Estagnação,0.3,ovar,0.0534,2.0,0.0823529411764705,2176.0
Palmela,9.81,95.9925,628.0,Timeout,TIER 1 - Resiliência,0.3,palmela,0.1846,2.0,0.1204188481675392,255.0
Paredes,-2.18,95.7794,628.0,Dead,TIER 2 - Estagnação,0.9,paredes,0.6204,2.0,0.2053543307086614,582.0
Penacova,-13.72,95.3133,587.0,Dead,TIER 3 - Risco de Fuga,47.5,penacova,0.1414,1.0,1.722680412371134,489.0
Penafiel,-3.28,95.8193,897.0,200,TIER 2 - Estagnação,0.7,penafiel,0.1492,3.0,0.8157248157248157,510.0
Penamacor,-14.46,96.0038,628.0,200,TIER 4 - Profecia CASSANDRA,75.2,penamacor,0.1522,2.0,0.3322538860103627,582.0
Penedono,-5.87,94.4959,234.0,200,TIER 4 - Profecia CASSANDRA,57.3,penedono,0.2412,2.0,0.8732008224811515,532.0
Penela,-8.2,95.2623,616.0,200,TIER 4 - Profecia CASSANDRA,51.5,penela,0.1936,2.0,1.0957446808510638,489.0
Peniche,-4.04,95.5637,855.0,Dead,TIER 2 - Estagnação,0.7,peniche,0.0882,2.0,0.547945205479452,542.0
Pinhel,-15.0,93.8822,182.0,200,TIER 4 - Profecia CASSANDRA,91.8,pinhel,0.085,2.0,0.2753623188405797,770.0
Pombal,-6.92,95.3922,692.0,200,TIER 3 - Risco de Fuga,0.4,pombal,0.5586,2.0,0.1174757281553398,524.0
Portalegre,-10.01,94.7876,395.0,200,TIER 3 - Risco de Fuga,8.6,portalegre,0.5576,2.0,1.581425768476128,489.0
Portel,-9.69,94.4959,245.0,Dead,TIER 3 - Risco de Fuga,42.7,portel,0.0422,2.0,0.1403013182674199,586.0
Portimão,7.48,95.7561,1759.0,200,TIER 1 - Resiliência,0.2,portimao,0.217,2.0,0.4626307922272047,488.0
Porto,-1.07,92.87,1319.0,200,TIER 2 - Estagnação,8.6,porto,0.034,2.0,0.4059156702328508,489.0
Povoação,-6.92,94.8859,613.0,200,TIER 3 - Risco de Fuga,12.6,povoacao,0.2218,2.0,0.0972622478386167,582.0
Redondo,-10.1,94.0816,181.0,Dead,TIER 3 - Risco de Fuga,8.6,redondo,0.1352,1.0,0.0054775761725436,621.0
Resende,-11.34,99.6807,866.0,200,TIER 4 - Profecia CASSANDRA,77.0,resende,0.06,2.0,1.3286219081272084,516.0
Sabrosa,-11.68,92.7405,57.0,200,TIER 4 - Profecia CASSANDRA,75.4,sabrosa,0.1004,2.0,0.1323529411764706,1816.0
Sabugal,-9.87,95.3447,662.0,200,TIER 4 - Profecia CASSANDRA,49.8,sabugal,0.0076,2.0,0.2332686711930165,457.0
Santarém,-4.25,95.6092,1295.0,200,TIER 2 - Estagnação,1.2,santarem,0.0108,2.0,0.5352669742913645,571.0
Santiago do Cacém,-5.67,92.3529,7.0,200,TIER 3 - Risco de Fuga,9.4,santiago do cacem,0.0038,2.0,0.0117474302496328,1442.0
Sardoal,-10.66,95.5697,1084.0,200,TIER 4 - Profecia CASSANDRA,67.2,sardoal,0.207,2.0,0.6785508913168488,168.0
Sátão,-11.59,94.8636,282.0,200,TIER 4 - Profecia CASSANDRA,53.8,satao,0.3746,2.0,27.00793650793651,543.0
Seia,-12.24,95.4903,914.0,200,TIER 4 - Profecia CASSANDRA,70.7,seia,0.027,2.0,0.369950389794472,490.0
